01.01,Chrome, Element [Quotes (dynamic)] - exists; Page [index.php]
02.02,Chrome, Element [Current Location] - exists; Page [index.php]
03.03,Chrome, Element [Weather Icon] - exists; Page [index.php]
04.04,Chrome, Element [Quotes (dynamic)] - exists; Page [index.php]
05.05,Chrome, Element [Title] - exists; Page [index.php]
06.06,Chrome, Element [First Name (label)] - exists; Page [index.php]
07.07,Chrome, Element [First Name (field)] - exists; Page [index.php]
08.08,Chrome, Element [Last Name (label)] - exists; Page [index.php]
09.09,Chrome, Element [Last Name (field)] - exists; Page [index.php]
10.10,Chrome, Element [Email (label)] - exists; Page [index.php]
11.11,Chrome, Element [Email (filed)] - exists; Page [index.php]
12.12,Chrome, Element [Phone (label)] - exists; Page [index.php]
13.13,Chrome, Element [Phone (field)] - exists; Page [index.php]
14.14,Chrome, Element [Genre (label)] - exists; Page [index.php]
15.15,Chrome, Element [Male (label)] - exists; Page [index.php]
16.16,Chrome, Element [Male (radio button)] - exists; Page [index.php]
17.17,Chrome, Element [Female (label)] - exists; Page [index.php]
18.18,Chrome, Element [Female (radio button)] - exists; Page [index.php]
19.19,Chrome, Element [State (label)] - exists; Page [index.php]
20.20,Chrome, Element [State (drop-down)] - exists; Page [index.php]
21.21,Chrome, Element [State California (item)] - exists; Page [index.php]
22.22,Chrome, Element [Terms (label)] - exists; Page [index.php]
23.23,Chrome, Element [Terms (checkbox)] - exists; Page [index.php]
24.24,Chrome, Element [Image (facebook)] - exists; Page [index.php]
25.25,Chrome, Element [Image (twitter)] - exists; Page [index.php]
26.26,Chrome, Element [Image (flickr)] - exists; Page [index.php]
27.27,Chrome, Element [Image (youtube)] - exists; Page [index.php]
28.28,Chrome, Element [Reset (button)] - exists; Page [index.php]
29.29,Chrome, Element [Submit (button)] - exists; Page [index.php]
30.30,Chrome, Element [Timestamp (dynamic)] - exists; Page [index.php]
31.31,Chrome, Element [Copyright (dynamic)] - exists; Page [index.php]
32.32,Chrome, Element [OS & Browser (dynamic)] - exists; Page [index.php]
33.33,Chrome, Element [Error Line] - exists; Page [index.php]
34.34,Chrome, Element [First Name Error] - exists; Page [index.php]
35.35,Chrome, Element [Last Name Error] - exists; Page [index.php]
36.36,Chrome, Element [Email Error] - exists; Page [index.php]
37.37,Chrome, Element [Phone Error] - exists; Page [index.php]
38.38,Chrome, Element [First Name Error (img)] - exists; Page [index.php]
39.39,Chrome, Element [Last Name Error (img)] - exists; Page [index.php]
40.40,Chrome, Element [Email Error (img)] - exists; Page [index.php]
41.41,Chrome, Element [Phone Error (img)] - exists; Page [index.php]
42.05,Chrome, Element [Title] - exists; Page [confirmation.php]
43.06,Chrome, Element [First Name (label)] - exists; Page [confirmation.php]
44.07,Chrome, Element [First Name (field)] - exists; Page [confirmation.php]
45.08,Chrome, Element [Last Name (label)] - exists; Page [confirmation.php]
46.09,Chrome, Element [Last Name (field)] - exists; Page [confirmation.php]
47.10,Chrome, Element [Email (label)] - exists; Page [confirmation.php]
48.11,Chrome, Element [Email (filed)] - exists; Page [confirmation.php]
49.12,Chrome, Element [Phone (label)] - exists; Page [confirmation.php]
50.13,Chrome, Element [Phone (field)] - exists; Page [confirmation.php]
51.14,Chrome, Element [Genre (label)] - exists; Page [confirmation.php]
52.42,Chrome, Element [Genre (field)] - exists; Page [confirmation.php]
53.43,Chrome, Element [Back (button)] - exists; Page [confirmation.php]
