01.01,Safari, Element [Quotes (dynamic)] - exists; Page [index.php]
02.02,Safari, Element [Current Location] - exists; Page [index.php]
03.03,Safari, Element [Weather Icon] - exists; Page [index.php]
04.04,Safari, Element [Quotes (dynamic)] - exists; Page [index.php]
05.05,Safari, Element [Title] - exists; Page [index.php]
06.06,Safari, Element [First Name (label)] - exists; Page [index.php]
07.07,Safari, Element [First Name (field)] - exists; Page [index.php]
08.08,Safari, Element [Last Name (label)] - exists; Page [index.php]
09.09,Safari, Element [Last Name (field)] - exists; Page [index.php]
10.10,Safari, Element [Email (label)] - exists; Page [index.php]
11.11,Safari, Element [Email (filed)] - exists; Page [index.php]
12.12,Safari, Element [Phone (label)] - exists; Page [index.php]
13.13,Safari, Element [Phone (field)] - exists; Page [index.php]
14.14,Safari, Element [Genre (label)] - exists; Page [index.php]
15.15,Safari, Element [Male (label)] - exists; Page [index.php]
16.16,Safari, Element [Male (radio button)] - exists; Page [index.php]
17.17,Safari, Element [Female (label)] - exists; Page [index.php]
18.18,Safari, Element [Female (radio button)] - exists; Page [index.php]
19.19,Safari, Element [State (label)] - exists; Page [index.php]
20.20,Safari, Element [State (drop-down)] - exists; Page [index.php]
21.21,Safari, Element [State California (item)] - exists; Page [index.php]
22.22,Safari, Element [Terms (label)] - exists; Page [index.php]
23.23,Safari, Element [Terms (checkbox)] - exists; Page [index.php]
24.24,Safari, Element [Image (facebook)] - exists; Page [index.php]
25.25,Safari, Element [Image (twitter)] - exists; Page [index.php]
26.26,Safari, Element [Image (flickr)] - exists; Page [index.php]
27.27,Safari, Element [Image (youtube)] - exists; Page [index.php]
28.28,Safari, Element [Reset (button)] - exists; Page [index.php]
29.29,Safari, Element [Submit (button)] - exists; Page [index.php]
30.30,Safari, Element [Timestamp (dynamic)] - exists; Page [index.php]
31.31,Safari, Element [Copyright (dynamic)] - exists; Page [index.php]
32.32,Safari, Element [OS & Browser (dynamic)] - exists; Page [index.php]
33.33,Safari, Element [Error Line] - exists; Page [index.php]
34.34,Safari, Element [First Name Error] - exists; Page [index.php]
35.35,Safari, Element [Last Name Error] - exists; Page [index.php]
36.36,Safari, Element [Email Error] - exists; Page [index.php]
37.37,Safari, Element [Phone Error] - exists; Page [index.php]
38.38,Safari, Element [First Name Error (img)] - exists; Page [index.php]
39.39,Safari, Element [Last Name Error (img)] - exists; Page [index.php]
40.40,Safari, Element [Email Error (img)] - exists; Page [index.php]
41.41,Safari, Element [Phone Error (img)] - exists; Page [index.php]
42.05,Safari, Element [Title] - exists; Page [confirmation.php]
43.06,Safari, Element [First Name (label)] - exists; Page [confirmation.php]
44.07,Safari, Element [First Name (field)] - exists; Page [confirmation.php]
45.08,Safari, Element [Last Name (label)] - exists; Page [confirmation.php]
46.09,Safari, Element [Last Name (field)] - exists; Page [confirmation.php]
47.10,Safari, Element [Email (label)] - exists; Page [confirmation.php]
48.11,Safari, Element [Email (filed)] - exists; Page [confirmation.php]
49.12,Safari, Element [Phone (label)] - exists; Page [confirmation.php]
50.13,Safari, Element [Phone (field)] - exists; Page [confirmation.php]
51.14,Safari, Element [Genre (label)] - exists; Page [confirmation.php]
52.42,Safari, Element [Genre (field)] - exists; Page [confirmation.php]
53.43,Safari, Element [Back (button)] - exists; Page [confirmation.php]
